Breakdown,ttm,12/31/2019,12/31/2018
Research Development,313.9783,313.9783,184.4157
Selling General and Administrative,4008,4008,3203
Total Operating Expenses,6184,6184,4890
Operating Income or Loss,-6184,-6184,-4890
Interest Expense,358.1868,358.1868,14.5743
Total Other Income/Expenses Net,960.371,960.371,1340
Income Before Tax,-5602,-5602,-3564
Income Tax Expense,0,0,0
Income from Continuing Operations,-5602,-5602,-3564
Net Income,-5602,-5602,-3564
Net Income available to common shareholders,-5602,-5602,-3564
Basic EPS,-,-,-0.06
Diluted EPS,-,-,-0.06
Basic Average Shares,-,-,64007
Diluted Average Shares,-,-,64007
