Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-517000,2526000,3664000,3007000
Depreciation & amortization,14570000,15339000,17762000,16900000
Change in working capital,-1376000,-3270000,-3442000,707000
Inventory,268000,-2752000,-1100000,-843000
Other working capital,-18955000,3863000,2875000,2999000
Other non-cash items,-1077000,3239000,850000,2090000
Net cash provided by operating activites,11999000,18456000,21806000,20489000
Investments in property plant and equipment,-30954000,-14593000,-18931000,-17490000
Purchases of investments,-52000,-126000,-55000,-44000
Other investing activites,-713000,-386000,-287000,-119000
Net cash used for investing activites,-31661000,-15105000,-19273000,-17653000
Net change in cash,-2895000,648000,-1581000,-1107000
Cash at beginning of period,45692000,45666000,47248000,48355000
Cash at end of period,42974000,46315000,45666000,47248000
Operating Cash Flow,11999000,18456000,21806000,20489000
Capital Expenditure,-30954000,-14593000,-18931000,-17490000
Free Cash Flow,-18955000,3863000,2875000,2999000
