Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,100868,100868,95813,84300,58574
Interest Expense,22238,22238,14675,8620,5238
Income Before Tax,60868,60868,56001,50049,32416
Income Tax Expense,16150,16150,14667,18153,12200
Income from Continuing Operations,44718,44718,41334,31897,20216
Net Income,44718,44718,41334,31897,20216
Net Income available to common shareholders,44718,44718,41334,31897,20216
Basic EPS,-,-,1.71,1.32,0.86
Diluted EPS,-,-,1.69,1.32,0.86
Basic Average Shares,-,-,24185,24075,23643
Diluted Average Shares,-,-,24476,24075,23643
