Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4349,-2147,-2603,-1500,-374.3604
Purchases of investments,-2953,-2709,-562.8467,-6320,-7237
Sales/Maturities of investments,710.4829,394.9808,5.412,3839,1.3466
Other investing activites,36.2308,-1623,472.1959,-,-
Net cash used for investing activites,-6556,-6084,-2637,-3721,-5417
Debt repayment,-,-,-2254,-,-11545
Dividends Paid,-39055,-39143,-33000,-27331,-23191
Net cash used privided by (used for) financing activities,-39883,-39143,-35254,-27331,-34977
Net change in cash,8469,-13051,6651,8064,172.3674
Cash at beginning of period,41496,54487,44856,35120,36219
Cash at end of period,49966,41393,51701,43101,36378
Capital Expenditure,-4349,-2147,-2603,-1500,-374.3604
Free Cash Flow,50559,30029,41939,37616,40193
