Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017
Net Income,35060,35060,6132,13422
Change in working capital,-24,-24,158,302
Other working capital,3192,3192,2950,4256
Net cash provided by operating activites,3192,3192,2950,4256
Purchases of investments,-49999,-49999,-127125,-129846
Sales/Maturities of investments,59518,59518,121956,121085
Net cash used for investing activites,9519,9519,-5169,-8761
Net change in cash,7651,7651,87,432
Cash at beginning of period,467,467,432,0
Cash at end of period,8228,8228,467,432
Operating Cash Flow,3192,3192,2950,4256
Free Cash Flow,3192,3192,2950,4256
