Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-25551,-12233,-82960,-30267,-4060
Purchases of investments,-,-109.882,-,-,-
Other investing activites,-,-,628.72,11307,-350
Net cash used for investing activites,-25769,-12343,-82331,-18960,-4410
Debt repayment,-,-1194,-4100,-2200,-
Common stock issued,-,2125,3225,20625,3500
Common stock repurchased,-,-181.25,-,-1010,-177
Net cash used privided by (used for) financing activities,38557,4289,88340,34230,7659
Net change in cash,9117,-7532,-94.19,6909,-6490
Cash at beginning of period,8459,10994,11089,4180,10669
Cash at end of period,17576,3463,10994,11089,4180
Capital Expenditure,-25551,-12233,-82960,-30267,-4060
Free Cash Flow,-29222,-11711,-89063,-38628,-13798
