Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,562801,562801,517494,469094,455830
Interest Expense,56768,56768,32659,19250,16408
Income Before Tax,183132,183132,165110,151264,129640
Income Tax Expense,36854,36854,28595,90488,44255
Income from Continuing Operations,146278,146278,136515,60776,85385
Net Income,146278,146278,136515,60776,85385
Net Income available to common shareholders,146278,146278,136515,60776,85385
Basic EPS,-,-,4.16,1.85,2.52
Diluted EPS,-,-,4.15,1.84,2.52
Basic Average Shares,-,-,32785,32888,33820
Diluted Average Shares,-,-,32894,32987,33854
