Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6978000,3226000,2130000,2663000
Depreciation & amortization,-,1120000,1048000,1081000
Change in working capital,-,-2072000,1237000,192000
Inventory,-,498000,-773000,125000
Other working capital,-,1117000,4280000,68000
Other non-cash items,-,130000,813000,-1593000
Net cash provided by operating activites,-,2309000,5348000,1438000
Investments in property plant and equipment,-,-1192000,-1068000,-1370000
Purchases of investments,-,-330000,-349000,-40000
Sales/Maturities of investments,-,5000,74000,-
Other investing activites,-,-41000,2000,16000
Net cash used for investing activites,-,-947000,-989000,-1372000
Net change in cash,-,258000,3213000,864000
Cash at beginning of period,-,12456000,9243000,8379000
Cash at end of period,-,12715000,12456000,9243000
Operating Cash Flow,-,2309000,5348000,1438000
Capital Expenditure,-,-1192000,-1068000,-1370000
Free Cash Flow,-,1117000,4280000,68000
