Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,8721000,7899000,6713000
Liabilities,,,
Total Liabilities,812000,875000,877000
Stockholders' Equity,,,
Common Stock,719000,719000,719000
Total stockholders' equity,7909000,7024000,5836000
Total liabilities and stockholders' equity,8721000,7899000,6713000
