Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4321000,3166000,2762000,2867000
Depreciation & amortization,-,1132000,1198000,1211000
Change in working capital,-,-445000,-547000,-1637000
Inventory,-,-995000,896000,-518000
Other working capital,-,2591000,2619000,2361000
Other non-cash items,-,142000,6000,97000
Net cash provided by operating activites,-,4085000,3315000,2948000
Investments in property plant and equipment,-,-1494000,-696000,-587000
Purchases of investments,-,-2000,-2000,-2000
Sales/Maturities of investments,-,266000,29000,-
Other investing activites,-,1062000,-458000,-674000
Net cash used for investing activites,-,-164000,-1121000,-1253000
Net change in cash,-,2458000,1493000,473000
Cash at beginning of period,-,13712000,12219000,11745000
Cash at end of period,-,16170000,13712000,12219000
Operating Cash Flow,-,4085000,3315000,2948000
Capital Expenditure,-,-1494000,-696000,-587000
Free Cash Flow,-,2591000,2619000,2361000
