Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,151490,151490,139092,128749,126905
Interest Expense,33803,33803,21899,15795,12590
Income Before Tax,60460,60460,51822,46083,46887
Income Tax Expense,11004,11004,9798,14809,14974
Income from Continuing Operations,49456,49456,42024,31274,31913
Net Income,49456,49456,42024,31274,31913
Net Income available to common shareholders,49456,49456,42024,31274,31913
Basic EPS,-,-,2.53,1.90,1.96
Diluted EPS,-,-,2.53,1.90,1.96
Basic Average Shares,-,-,16601,16479,16292
Diluted Average Shares,-,-,16606,16489,16311
