Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,5095334,4877139,1316887
Liabilities,,,
Total Liabilities,502589,424805,330419
Stockholders' Equity,,,
Common Stock,3,4453200,999735
Retained Earnings,47833,-,-
Accumulated other comprehensive income,1366,-866,-13267
Total stockholders' equity,3378588,4452334,986468
Total liabilities and stockholders' equity,5095334,4877139,1316887
