Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,751361,751361,661214,635153,509003
Interest Expense,110257,110257,65870,37712,28641
Income Before Tax,265939,265939,197057,187954,138520
Income Tax Expense,66201,66201,39187,89567,46171
Income from Continuing Operations,199738,199738,157870,98387,92349
Net Income,199738,199738,157870,98387,92349
Net Income available to common shareholders,198057,198057,156558,97471,91306
Basic EPS,-,-,1.52,0.96,1.14
Diluted EPS,-,-,1.52,0.96,1.14
Basic Average Shares,-,-,102850,101423,79797
Diluted Average Shares,-,-,102854,101443,79810
