Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1084772,1248527,1011376,735294
Depreciation & amortization,-,1591702,1617494,1610381
Change in working capital,-,-43713,74093,313522
Inventory,-,133465,198137,405330
Other working capital,-,1928735,2884280,1502175
Other non-cash items,-,251919,304149,-86644
Net cash provided by operating activites,-,3289453,3983436,3459299
Investments in property plant and equipment,-,-1360718,-1099156,-1957124
Purchases of investments,-,-,-470400,-
Other investing activites,-,16471,-15515,141787
Net cash used for investing activites,-,-1041302,-1495071,-1605057
Net change in cash,-,-404021,201772,223889
Cash at beginning of period,-,1274842,1073069,849180
Cash at end of period,-,870820,1274842,1073069
Operating Cash Flow,-,3289453,3983436,3459299
Capital Expenditure,-,-1360718,-1099156,-1957124
Free Cash Flow,-,1928735,2884280,1502175
