Breakdown,ttm,12/31/2019,12/31/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-18280,-18280,-24966,-52033,-19443
Acquisitions net,-,-,-,33.8014,-7352
Purchases of investments,-2882,-2882,-1846,-,-
Sales/Maturities of investments,419.6403,419.6403,1267,2479,10162
Other investing activites,-1166,-1166,-,-4220,-
Net cash used for investing activites,-20942,-20942,-25139,-53722,-16467
Debt repayment,-16350,-16350,-16182,-,472.3391
Dividends Paid,-,-,-,-4371,-362.9774
Other financing activites,-2134,-2134,-3986,-1811,-505.4888
Net cash used privided by (used for) financing activities,-10681,-10681,-12026,10208,1756
Net change in cash,10677,10677,-6937,-7520,6665
Cash at beginning of period,2449,2449,9368,15442,9835
Cash at end of period,13126,13126,2431,7923,15995
Capital Expenditure,-18280,-18280,-24966,-52033,-19443
Free Cash Flow,24019,24019,5262,-16039,1933
