Breakdown,ttm,2/28/2019,2/28/2018
Net Income,1088778,1802522,760276
Depreciation & amortization,-,655675,606213
Change in working capital,-,-645609,-332182
Inventory,-,-699245,-489945
Other working capital,-,1357381,1069419
Other non-cash items,-,269983,389699
Net cash provided by operating activites,-,1551927,1168693
Investments in property plant and equipment,-,-194546,-99274
Acquisitions net,-,-,0
Purchases of investments,-,-30954,-1317
Other investing activites,-,-233974,-199978
Net cash used for investing activites,-,-459474,-300569
Net change in cash,-,-137804,-625422
Cash at beginning of period,-,14241,2610233
Cash at end of period,-,1847006,1984811
Operating Cash Flow,-,1551927,1168693
Capital Expenditure,-,-194546,-99274
Free Cash Flow,-,1357381,1069419
