Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,20294000,18090000,22014000,-4336000
Depreciation & amortization,-,21419000,20969000,20344000
Change in working capital,-,-5635000,-12352000,-14989000
Inventory,-,-4396000,-2412000,-1327000
Other working capital,-,12712000,-900000,10775000
Other non-cash items,-,-2909000,-12137000,22841000
Net cash provided by operating activites,-,37919000,20826000,33497000
Investments in property plant and equipment,-,-25207000,-21726000,-22722000
Purchases of investments,-,-8200000,-3026000,-203000
Sales/Maturities of investments,-,3302000,5502000,13016000
Other investing activites,-,-1964000,-582000,-1781000
Net cash used for investing activites,-,-31933000,-19769000,-11606000
Net change in cash,-,-2143000,4498000,14057000
Cash at beginning of period,-,57870000,53372000,39314000
Cash at end of period,-,55727000,57870000,53372000
Operating Cash Flow,-,37919000,20826000,33497000
Capital Expenditure,-,-25207000,-21726000,-22722000
Free Cash Flow,-,12712000,-900000,10775000
