Attribute,Value
Previous Close,22.03
Open,21.60
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,21.60 - 22.00
52 Week Range,16.88 - 27.79
Volume,1377
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
