Breakdown,ttm,6/30/2019,6/30/2018
Net Income,17993,14571,3237
Change in working capital,-3873,1342,-2040
Other working capital,-2419,379,-4888
Other non-cash items,1780,75,-570
Net cash provided by operating activites,-2419,379,-4888
Acquisitions net,-20855,-34665,-40770
Purchases of investments,-204782,-181627,-63451
Net cash used for investing activites,-225100,-215469,-103717
Net change in cash,-155333,-144393,374339
Cash at beginning of period,230295,374339,0
Cash at end of period,74962,229946,374339
Operating Cash Flow,-2419,379,-4888
Free Cash Flow,-2419,379,-4888
