Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,584898,622660,1162199,45629
Depreciation & amortization,-,1869944,1311625,1567596
Change in working capital,-,-565305,-1306872,-916886
Inventory,-,-974239,-980528,-974062
Other working capital,-,-2909647,-1331375,-3876493
Other non-cash items,-,367457,189047,-544655
Net cash provided by operating activites,-,2016182,2021320,-465150
Investments in property plant and equipment,-,-4925829,-3352695,-3411343
Sales/Maturities of investments,-,-,-,442222
Other investing activites,-,-20872,-7622,-11688
Net cash used for investing activites,-,-4940829,-3351885,-2733532
Net change in cash,-,-2514859,321963,-2592966
Cash at beginning of period,-,5771460,5449497,8042463
Cash at end of period,-,3256601,5771460,5449497
Operating Cash Flow,-,2016182,2021320,-465150
Capital Expenditure,-,-4925829,-3352695,-3411343
Free Cash Flow,-,-2909647,-1331375,-3876493
