Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,484321,484321,326999,336794,302207
Depreciation & amortization,-,-,55081,48652,51415
Stock based compensation,-,-,-,0,13135
Change in working capital,-,-,-115243,-1223637,90183
Other working capital,-,-,389874,-900385,443930
Other non-cash items,-,-,21672,24345,7403
Net cash provided by operating activites,-,-,484562,-803884,511539
Investments in property plant and equipment,-,-,-94688,-96501,-67609
Acquisitions net,-,-,-3436,-611,-24201
Other investing activites,-,-,22497,-,-47804
Net cash used for investing activites,-,-,311048,-109225,14274
Net change in cash,-,-,525979,-460248,682298
Cash at beginning of period,-,-,1331323,1677281,1049732
Cash at end of period,-,-,1723391,1331323,1677281
Operating Cash Flow,-,-,484562,-803884,511539
Capital Expenditure,-,-,-94688,-96501,-67609
Free Cash Flow,-,-,389874,-900385,443930
