Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2177522,1596522,1927355,2191989
Depreciation & amortization,-,1176946,1153925,1079243
Change in working capital,-,-499900,-873370,239519
Inventory,-,-693769,-1149400,352491
Other working capital,-,2011534,2961642,-499957
Other non-cash items,-,197273,-50370,-287258
Net cash provided by operating activites,-,2011534,2961642,-499957
Purchases of investments,-,-180454,-407066,-509097
Sales/Maturities of investments,-,1410778,2001401,2531693
Other investing activites,-,-2632148,-1186614,-2097676
Net cash used for investing activites,-,-1400604,505456,690920
Net change in cash,-,-7891,2880868,-617457
Cash at beginning of period,-,14338622,11457753,12075211
Cash at end of period,-,14568058,14338622,11457753
Operating Cash Flow,-,2011534,2961642,-499957
Free Cash Flow,-,2011534,2961642,-499957
