Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,-27315,-31934,74799,73216
Change in working capital,-905.08,-556.08,-166.879,530.338
Other working capital,31404,37325,41207,43623
Net cash provided by operating activites,31404,37325,41207,43623
Net change in cash,2537,2855,5628,8016
Cash at beginning of period,22515,20096,14485,6458
Cash at end of period,25052,22952,20096,14485
Operating Cash Flow,31404,37325,41207,43623
Free Cash Flow,31404,37325,41207,43623
