Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1754000,2305000,3692000,926000
Depreciation & amortization,1971000,1935000,1757000,1766000
Change in working capital,-1792000,-5044000,-4428000,-1467000
Inventory,-4757000,-7393000,-1537000,-264000
Other working capital,1134000,-4916000,1857000,-2202000
Other non-cash items,1505000,-697000,1841000,-789000
Net cash provided by operating activites,2694000,-2899000,3784000,1204000
Investments in property plant and equipment,-1560000,-2017000,-1927000,-3406000
Acquisitions net,-,-67000,-,-
Purchases of investments,-572000,-509000,-85000,-227000
Sales/Maturities of investments,-,480000,-,-
Other investing activites,-233000,-237000,-24000,-37000
Net cash used for investing activites,-1883000,-2348000,-1936000,-3562000
Net change in cash,1445000,1481000,-349000,-181000
Cash at beginning of period,4033000,4135000,4484000,4665000
Cash at end of period,5492000,5616000,4135000,4484000
Operating Cash Flow,2694000,-2899000,3784000,1204000
Capital Expenditure,-1560000,-2017000,-1927000,-3406000
Free Cash Flow,1134000,-4916000,1857000,-2202000
