Breakdown,ttm,12/31/2019
Net Income,146.08,146.08
Change in working capital,514.897,514.897
Other working capital,429.114,429.114
Other non-cash items,90.273,90.273
Net cash provided by operating activites,429.114,429.114
Purchases of investments,-76000,-76000
Other investing activites,-43000,-43000
Net cash used for investing activites,-119000,-119000
Net change in cash,76609,76609
Cash at beginning of period,0,0
Cash at end of period,76459,76459
Operating Cash Flow,429.114,429.114
Free Cash Flow,429.114,429.114
