Attribute,Value
Previous Close,21.00
Open,21.17
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,20.25 - 21.22
52 Week Range,13.39 - 26.83
Volume,17360
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
