Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1124000,183000,742000,781000
Depreciation & amortization,-,411000,368000,308000
Change in working capital,-,-891000,1366000,1428000
Inventory,-,-91000,220000,273000
Other working capital,-,-866000,2072000,2263000
Other non-cash items,-,39000,39000,39000
Net cash provided by operating activites,-,-585000,2367000,2500000
Investments in property plant and equipment,-,-281000,-295000,-237000
Acquisitions net,-,-,-1968000,-
Purchases of investments,-,-9000,-410000,-109000
Sales/Maturities of investments,-,276000,295000,10000
Other investing activites,-,-83000,297000,6000
Net cash used for investing activites,-,-93000,-2078000,-325000
Net change in cash,-,-917000,50000,1961000
Cash at beginning of period,-,18775000,18725000,16763000
Cash at end of period,-,17857000,18775000,18725000
Operating Cash Flow,-,-585000,2367000,2500000
Capital Expenditure,-,-281000,-295000,-237000
Free Cash Flow,-,-866000,2072000,2263000
