Breakdown,ttm,3/31/2019,3/31/2018
Net Income,1704146,1704146,1912908
Depreciation & amortization,510346,510346,357442
Change in working capital,309601,309601,-134815
Inventory,3592,3592,-4175
Other working capital,-963434,-963434,265969
Other non-cash items,335570,335570,201480
Net cash provided by operating activites,2926214,2926214,2020447
Investments in property plant and equipment,-3889648,-3889648,-1754478
Sales/Maturities of investments,2200,2200,55423
Other investing activites,72437,72437,-413941
Net cash used for investing activites,-3815011,-3815011,-2112996
Net change in cash,-7364,-7364,-698902
Cash at beginning of period,3117346,3117346,3816249
Cash at end of period,3109981,3109981,3117346
Operating Cash Flow,2926214,2926214,2020447
Capital Expenditure,-3889648,-3889648,-1754478
Free Cash Flow,-963434,-963434,265969
