Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,313977,936894,768406,603094
Depreciation & amortization,-,867321,871726,980067
Change in working capital,-,-565206,-288842,-347388
Inventory,-,-1174708,-584193,306522
Other working capital,-,-1064905,1599805,1825919
Other non-cash items,-,-257081,128582,-11643
Net cash provided by operating activites,-,168385,2531344,2697141
Investments in property plant and equipment,-,-1233290,-931539,-871222
Other investing activites,-,-87776,-126989,-329
Net cash used for investing activites,-,-1321066,-1058528,-624954
Net change in cash,-,-716324,1272848,1127182
Cash at beginning of period,-,7587100,6314252,5187069
Cash at end of period,-,6870776,7587100,6314252
Operating Cash Flow,-,168385,2531344,2697141
Capital Expenditure,-,-1233290,-931539,-871222
Free Cash Flow,-,-1064905,1599805,1825919
