Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-2258000,-1478000,751000,2680000
Depreciation & amortization,-,783000,1318000,1228000
Change in working capital,-,565000,-886000,-4989000
Inventory,-,1570000,-1679000,-614000
Other working capital,-,537000,-178000,-1751000
Other non-cash items,-,-62000,39000,-10000
Net cash provided by operating activites,-,1400000,983000,-851000
Investments in property plant and equipment,-,-863000,-1161000,-900000
Acquisitions net,-,-,-101000,-149000
Purchases of investments,-,-3000,-3000,-203000
Sales/Maturities of investments,-,8000,-,0
Other investing activites,-,-360000,-478000,-364000
Net cash used for investing activites,-,-1214000,-2143000,-1561000
Net change in cash,-,75000,-192000,-591000
Cash at beginning of period,-,1737000,1525000,2117000
Cash at end of period,-,1812000,1332000,1525000
Operating Cash Flow,-,1400000,983000,-851000
Capital Expenditure,-,-863000,-1161000,-900000
Free Cash Flow,-,537000,-178000,-1751000
