Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-874.911,-1041,-160.73
Net cash used for investing activites,-874.911,-1041,-160.73
Common stock issued,-,-,5500
Common stock repurchased,-,-,-482.184
Net cash used privided by (used for) financing activities,-,-,4243
Net change in cash,-1370,-1296,3792
Cash at beginning of period,3202,3879,86.748
Cash at end of period,1831,2583,3879
Capital Expenditure,-874.911,-1041,-160.73
Free Cash Flow,-1367,-1296,-450.383
