Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,130307,125617,130299,138222
Liabilities,,,,
Total Liabilities,75226,69702,70353,69316
Stockholders' Equity,,,,
Common Stock,3773,3773,3773,0
Retained Earnings,50125,53243,56412,65137
Accumulated other comprehensive income,1183,-1100,-239.896,7.975
Total stockholders' equity,55080,55915,59945,68907
Total liabilities and stockholders' equity,130307,125617,130299,138222
