Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-11888,-10130,-117086,-12831,-3839
Other investing activites,-,-,-6597,-,-3830
Net cash used for investing activites,-11888,-10130,-123683,-12831,-7669
Debt repayment,-,-,-,-,-64418
Common stock issued,-,-,50085,-,152130
Common stock repurchased,-,-,-,-,-70042
Dividends Paid,-25808,-25645,-23509,-16227,-16418
Other financing activites,-,-,-8820,-7987,-
Net cash used privided by (used for) financing activities,-24753,-26731,92556,-23908,-8607
Net change in cash,-2525,-370,2059,-6471,7445
Cash at beginning of period,6215,7851,4118,10589,3144
Cash at end of period,3690,7481,6177,4118,10589
Free Cash Flow,34116,36491,33186,30268,23721
