Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,-227000,-227000,-145000,182000,-206000
Depreciation & amortization,108000,108000,89000,87000,88000
Stock based compensation,4000,4000,9000,6000,-
Change in working capital,424000,424000,-1181000,-938000,-698000
Other working capital,574000,574000,-1291000,-701000,-480000
Other non-cash items,-1513000,-1513000,-851000,-844000,-807000
Net cash provided by operating activites,724000,724000,-1125000,-532000,-359000
Investments in property plant and equipment,-150000,-150000,-166000,-169000,-121000
Purchases of investments,-1647000,-1647000,-593000,-492000,-357000
Sales/Maturities of investments,1011000,1011000,1067000,80000,157000
Net cash used for investing activites,3395000,3395000,329000,-551000,-293000
Net change in cash,3577000,3577000,-410000,1002000,-387000
Cash at beginning of period,6542000,6542000,6952000,5950000,6337000
Cash at end of period,10119000,10119000,6542000,6952000,5950000
Operating Cash Flow,724000,724000,-1125000,-532000,-359000
Capital Expenditure,-150000,-150000,-166000,-169000,-121000
Free Cash Flow,574000,574000,-1291000,-701000,-480000
