Breakdown,12/31/2019,12/31/2018,9/30/2018,9/30/2017,9/30/2016
Total Assets,319294,307695,305984,277815,232832
Liabilities,,,,,
Total Liabilities,242127,231297,229601,201019,187751
Stockholders' Equity,,,,,
Common Stock,77,75,75,75,-
Retained Earnings,47562,47043,46895,46446,45081
Accumulated other comprehensive income,9,-441,-695,57,-
Total stockholders' equity,77167,76398,76383,76796,45081
Total liabilities and stockholders' equity,319294,307695,305984,277815,232832
