Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Purchases of investments,-166595,-125248,-118974,-129761
Sales/Maturities of investments,161665,118454,100991,117638
Net cash used for investing activites,-4929,-6794,-17983,-12123
Common stock issued,-,9286,13359,12066
Common stock repurchased,-73.628,-88.541,-121.227,-112.466
Dividends Paid,-17312,-16956,-15710,-14162
Net cash used privided by (used for) financing activities,-8099,-7758,-2473,-2209
Net change in cash,3985,-1502,-1078,3609
Cash at beginning of period,3636,7987,9065,5456
Cash at end of period,7621,6485,7987,9065
Free Cash Flow,17014,13050,19378,17941
