Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,587672,589556,592736
Liabilities,,,
Total Liabilities,13517,9795,60575
Stockholders' Equity,,,
Common Stock,2298,23451,21141
Total stockholders' equity,574155,579761,532161
Total liabilities and stockholders' equity,587672,589556,592736
