Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,827879,818077,853381,831943
Liabilities,,,,
Total Liabilities,729551,729022,766475,749766
Stockholders' Equity,,,,
Common Stock,39,39,39,39
Retained Earnings,101801,95635,90299,85716
Accumulated other comprehensive income,2059,-3763,-566,-708
Total stockholders' equity,98328,89055,86906,82177
Total liabilities and stockholders' equity,827879,818077,853381,831943
