Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-106850,-103306,149275,-73288
Depreciation & amortization,-,614916,660583,620763
Change in working capital,-,-245855,401390,-163868
Inventory,-,-118694,158750,-32430
Other working capital,-,-14054,763751,-252314
Other non-cash items,-,109235,34435,135821
Net cash provided by operating activites,-,439889,1290032,766396
Investments in property plant and equipment,-,-453943,-526281,-1018710
Acquisitions net,-,-,-90000,-20005
Purchases of investments,-,-,-,-31902
Sales/Maturities of investments,-,-,-,8034
Other investing activites,-,38687,-66602,10959
Net cash used for investing activites,-,-417534,-690698,-1059074
Net change in cash,-,88891,428718,203960
Cash at beginning of period,-,2865788,2435813,2231853
Cash at end of period,-,2954680,2864532,2435813
Operating Cash Flow,-,439889,1290032,766396
Capital Expenditure,-,-453943,-526281,-1018710
Free Cash Flow,-,-14054,763751,-252314
