Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,-26152,-26152,12582,31140,2119
Change in working capital,-,-,-,-20,-322
Other working capital,-,-,-,7953,6124
Net cash provided by operating activites,-,-,-,7953,6124
Purchases of investments,-,-,-,-133399,-64809
Sales/Maturities of investments,-,-,-,110580,56846
Net cash used for investing activites,-,-,-,-22819,-7963
Net change in cash,-,-,-,-7463,1124
Cash at beginning of period,-,-,-,11041,9894
Cash at end of period,-,-,-,3577,11041
Operating Cash Flow,-,-,-,7953,6124
Free Cash Flow,-,-,-,7953,6124
