Breakdown,ttm,6/30/2019,6/30/2018
Purchases of investments,-1350,-1500,-1000
Sales/Maturities of investments,-,-,1130
Net cash used for investing activites,-1350,-1500,129.875
Debt repayment,-,53.658,50.375
Common stock issued,-,-,0.001
Common stock repurchased,-232.91,-332.888,-
Dividends Paid,-2947,-2941,-5211
Other financing activites,-,-,50.375
Net cash used privided by (used for) financing activities,-3256,-3220,-5161
Net change in cash,-1171,-1882,2847
Cash at beginning of period,5508,6563,3715
Cash at end of period,4337,4680,6563
Free Cash Flow,3434,2838,7878
