Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-117011,-122831,-59972,-158935
Depreciation & amortization,-,5732,6662,8192
Change in working capital,-,-81174,7360,-375125
Inventory,-,-75264,-47741,31590
Other working capital,-104801,-113159,-29629,-421322
Other non-cash items,-,3703,-2499,-467
Net cash provided by operating activites,-90436,-96968,-27563,-406593
Investments in property plant and equipment,-14365,-16191,-2066,-14729
Acquisitions net,-,0,-35000,-
Purchases of investments,0,-30000,-45313,-48650
Sales/Maturities of investments,99682,71942,57445,24929
Other investing activites,-,-,-,0
Net cash used for investing activites,85951,-11732,-21217,-37983
Net change in cash,-27007,-108700,-48780,-281913
Cash at beginning of period,93679,194027,238807,522443
Cash at end of period,66672,81776,194027,238807
Operating Cash Flow,-90436,-96968,-27563,-406593
Capital Expenditure,-14365,-16191,-2066,-14729
Free Cash Flow,-104801,-113159,-29629,-421322
