Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1358,-37.991,-50.483,-146.985,-14.116
Sales/Maturities of investments,-,928.399,-,-,-
Net cash used for investing activites,-1358,890.408,-50.483,-146.985,-14.116
Debt repayment,-240.73,-147.5,-600.924,-75.499,-
Common stock issued,2981,118.75,3277,2015,96.016
Common stock repurchased,-,-,-,-128.345,-
Other financing activites,-,-,-,0.065,4.636
Net cash used privided by (used for) financing activities,2706,-28.75,2676,1811,100.652
Net change in cash,-470.177,-805.351,1542,192.884,-1423
Cash at beginning of period,2925,2317,775.14,582.256,2005
Cash at end of period,2455,1511,2317,775.14,582.256
Capital Expenditure,-1358,-37.991,-50.483,-146.985,-14.116
Free Cash Flow,-3176,-1705,-1134,-1618,-1523
