Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-995.965,-3244,-3639,-913.066,-916.542
Other investing activites,-,-,22.761,-,-
Net cash used for investing activites,-935.385,-3244,-3616,-913.066,-916.542
Debt repayment,-,-,-,-100,-
Common stock issued,4206,4378,3951,4694,-67.98
Common stock repurchased,-296.995,-280.228,-,-210,-
Net cash used privided by (used for) financing activities,3909,4098,3951,4484,-67.98
Net change in cash,962.014,-728.75,-747.705,3051,-1541
Cash at beginning of period,1046,2468,3216,164.41,1706
Cash at end of period,2008,1739,2468,3216,164.41
Capital Expenditure,-995.965,-3244,-3639,-913.066,-916.542
Free Cash Flow,-3008,-4827,-4721,-1433,-1473
