Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,60564,-53103,70007,125922
Change in working capital,744,-316,504,755
Other working capital,3373,1569,2375,45261
Net cash provided by operating activites,3373,1569,2375,45261
Purchases of investments,-136230,-115891,-120748,-
Sales/Maturities of investments,132694,111485,146716,-
Net cash used for investing activites,-3536,-4406,25968,-
Net change in cash,12267,-6573,-45,9805
Cash at beginning of period,5849,13054,13099,3294
Cash at end of period,18116,6481,13054,13099
Operating Cash Flow,3373,1569,2375,45261
Free Cash Flow,3373,1569,2375,45261
