Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6153000,5926000,4548000,3494000
Depreciation & amortization,-,261000,260000,269000
Stock based compensation,-,38000,36000,50000
Change in working capital,-,-4971000,-6943000,-2175000
Inventory,-,-5762000,-7110000,-2589000
Other working capital,-,2027000,-2426000,910000
Other non-cash items,-,493000,463000,-396000
Net cash provided by operating activites,-,2069000,-2415000,939000
Investments in property plant and equipment,-,-42000,-11000,-29000
Acquisitions net,-,-,-,-54000
Sales/Maturities of investments,-,-,23000,50000
Other investing activites,-,-8000,66000,333000
Net cash used for investing activites,-,-20000,95000,614000
Net change in cash,-,3331000,-659000,-3332000
Cash at beginning of period,-,4063000,4723000,8056000
Cash at end of period,-,7395000,4063000,4723000
Operating Cash Flow,-,2069000,-2415000,939000
Capital Expenditure,-,-42000,-11000,-29000
Free Cash Flow,-,2027000,-2426000,910000
