Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2495000,2638000,2922000,2724000
Depreciation & amortization,-,1820000,1710000,1625000
Change in working capital,-,-519000,24000,121000
Other working capital,-,1785000,3085000,3166000
Other non-cash items,-,568000,370000,444000
Net cash provided by operating activites,-,4214000,4367000,4621000
Investments in property plant and equipment,-,-2429000,-1282000,-1455000
Acquisitions net,-,-,-493000,-
Other investing activites,-,-213000,188000,165000
Net cash used for investing activites,-,-2642000,-1164000,-1290000
Net change in cash,-,-1300000,954000,-612000
Cash at beginning of period,-,6721000,5766000,6378000
Cash at end of period,-,5420000,6721000,5766000
Operating Cash Flow,-,4214000,4367000,4621000
Capital Expenditure,-,-2429000,-1282000,-1455000
Free Cash Flow,-,1785000,3085000,3166000
