Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-25901,-25901,-7098,-5728,-3876
Other investing activites,-314,-314,-,-,-
Net cash used for investing activites,-26215,-26215,-7098,-5728,-3876
Dividends Paid,-26740,-26740,-28140,-27797,-26306
Other financing activites,-3521,-3521,-,-,-
Net cash used privided by (used for) financing activities,739,739,-21140,-22297,-23706
Net change in cash,105,105,2,-325,-956
Cash at beginning of period,1784,1784,1782,2107,3063
Cash at end of period,1889,1889,1784,1782,2107
Free Cash Flow,25581,25581,28240,27700,26626
