Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,412027,79171,192905,463359
Depreciation & amortization,-,1733305,1718575,1682883
Change in working capital,-,-780399,-477195,-195088
Inventory,-,-4553,38456,53788
Other working capital,-,255481,407403,1025615
Other non-cash items,-,270733,346228,493460
Net cash provided by operating activites,-,1412416,1317268,1680346
Investments in property plant and equipment,-,-1156935,-909865,-654731
Other investing activites,-,-92939,-254977,138437
Net cash used for investing activites,-,-1098936,-1009991,592969
Net change in cash,-,-383903,432000,449123
Cash at beginning of period,-,3165529,2733528,2284405
Cash at end of period,-,2781625,3165529,2733528
Operating Cash Flow,-,1412416,1317268,1680346
Capital Expenditure,-,-1156935,-909865,-654731
Free Cash Flow,-,255481,407403,1025615
