Breakdown,ttm,6/30/2019,6/30/2018
Selling General and Administrative,1363,1281,568.079
Total Operating Expenses,1386,1304,2215
Operating Income or Loss,-1386,-1304,-2215
Interest Expense,-,13.777,16.122
Income Before Tax,-1398,-1317,-2229
Income Tax Expense,0,0,0
Income from Continuing Operations,-1398,-1317,-2229
Net Income,-1398,-1317,-2229
Net Income available to common shareholders,-1398,-1317,-2229
Basic EPS,-,-0.01,-0.02
Diluted EPS,-,-0.01,-0.02
Basic Average Shares,-,124780,123280
Diluted Average Shares,-,124780,123280
