Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017,2/28/2017
Net Income,58000,219000,309000,377000,377000
Depreciation & amortization,778000,792000,731000,628000,628000
Stock based compensation,39000,39000,33000,32000,32000
Change in working capital,-432000,-458000,339000,402000,395000
Inventory,-73000,-118000,-36000,-6000,-6000
Other working capital,122000,24000,664000,409000,409000
Other non-cash items,76000,75000,122000,114000,147000
Net cash provided by operating activites,688000,618000,1365000,1153000,1153000
Investments in property plant and equipment,-566000,-594000,-701000,-744000,-744000
Acquisitions net,0,-5000,-9000,-16000,-16000
Sales/Maturities of investments,0,39000,-,-,-
Other investing activites,-,-11000,-,-229000,-229000
Net cash used for investing activites,-354000,-474000,-470000,-750000,-750000
Net change in cash,5000,-608000,651000,-63000,-
Cash at beginning of period,1462000,1728000,1077000,1140000,1140000
Cash at end of period,1467000,1120000,1728000,1077000,1077000
Operating Cash Flow,688000,618000,1365000,1153000,1153000
Capital Expenditure,-566000,-594000,-701000,-744000,-744000
Free Cash Flow,122000,24000,664000,409000,409000
