Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1268000,1524000,804000,543000
Depreciation & amortization,-,1185000,1067000,1055000
Change in working capital,-,-54000,-3000,-407000
Inventory,-,596000,-1891000,174000
Other working capital,-,2092000,1154000,-326000
Other non-cash items,-,24000,23000,47000
Net cash provided by operating activites,-,3177000,2398000,956000
Investments in property plant and equipment,-,-1085000,-1244000,-1282000
Purchases of investments,-,-366000,-839000,-1479000
Sales/Maturities of investments,-,466000,-,278000
Other investing activites,-,-66000,-1551000,-4416000
Net cash used for investing activites,-,-1120000,-3610000,-6888000
Net change in cash,-,1427000,-2702000,-7754000
Cash at beginning of period,-,10066000,12768000,20241000
Cash at end of period,-,11494000,10066000,12768000
Operating Cash Flow,-,3177000,2398000,956000
Capital Expenditure,-,-1085000,-1244000,-1282000
Free Cash Flow,-,2092000,1154000,-326000
