Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,20278000,21810000,22773000,23601000
Liabilities,,,,
Total Liabilities,18281000,19830000,20663000,21501000
Stockholders' Equity,,,,
Common Stock,227000,227000,1257000,1257000
Retained Earnings,2110000,2091000,1168000,1152000
Total stockholders' equity,1997000,1980000,2110000,2100000
Total liabilities and stockholders' equity,20278000,21810000,22773000,23601000
