Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-9371,-9371
Net cash used for investing activites,-9241,-9241
Debt repayment,-77.293,-77.293
Common stock issued,10575,10575
Net cash used privided by (used for) financing activities,10498,10498
Net change in cash,3857,3857
Cash at beginning of period,3691,3691
Cash at end of period,7606,7606
Capital Expenditure,-9371,-9371
Free Cash Flow,-6771,-6771
