Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-538,-,-1525
Acquisitions net,-206,-3828,-5979,-18724
Sales/Maturities of investments,4861,4248,957,35
Other investing activites,-,-,-113,-251
Net cash used for investing activites,3651,-118,-5135,-20465
Debt repayment,-383,-40,-191,-174
Common stock issued,-,-,-,15975
Common stock repurchased,-,-,-129,-1930
Other financing activites,-,-,-,-779
Net cash used privided by (used for) financing activities,4874,1554,-320,30092
Net change in cash,2933,-4459,-5048,9107
Cash at beginning of period,1441,6647,11741,2634
Cash at end of period,4374,2130,6647,11741
Capital Expenditure,-,-538,-,-1525
Free Cash Flow,-6638,-6433,407,-2045
