Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-5173,-5173
Other investing activites,248,248
Net cash used for investing activites,-4687,-4687
Debt repayment,-1173,-1173
Common stock issued,27323,27323
Common stock repurchased,-1040,-1040
Net cash used privided by (used for) financing activities,25110,25110
Net change in cash,22860,22860
Cash at beginning of period,2756,2756
Cash at end of period,25740,25740
Capital Expenditure,-5173,-5173
Free Cash Flow,-2736,-2736
