Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,41825,41825,36051,27796,23439
Interest Expense,8924,8924,6158,3118,2231
Income Before Tax,12276,12276,9749,6725,7265
Income Tax Expense,1615,1615,1529,2879,1744
Income from Continuing Operations,10661,10661,8220,3846,5521
Net Income,10661,10661,8220,3846,5521
Net Income available to common shareholders,10661,10661,8220,3846,5521
Basic EPS,-,-,2.51,1.18,1.68
Diluted EPS,-,-,2.51,1.18,1.68
Basic Average Shares,-,-,3269,3267,3289
Diluted Average Shares,-,-,3269,3267,3289
