Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,278847,165773,283397,155178
Depreciation & amortization,-,1482102,1432953,1351501
Change in working capital,-,-1104565,899869,-613070
Inventory,-,18212,13883,-29809
Other working capital,-,-1273260,1003412,-910115
Other non-cash items,-,-54105,-21507,24521
Net cash provided by operating activites,-,521959,2755338,845677
Investments in property plant and equipment,-,-1795219,-1751926,-1755792
Purchases of investments,-,-920,-905,-849
Sales/Maturities of investments,-,-,0,293698
Other investing activites,-,-561597,-300601,7545
Net cash used for investing activites,-,-2680346,-2053432,-2066048
Net change in cash,-,-516125,868021,-378934
Cash at beginning of period,-,2054514,1186493,1565427
Cash at end of period,-,1538389,2054514,1186493
Operating Cash Flow,-,521959,2755338,845677
Capital Expenditure,-,-1795219,-1751926,-1755792
Free Cash Flow,-,-1273260,1003412,-910115
