Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1200,-1200,-8458,-1578,-920.154
Acquisitions net,-,-,-10.003,-,-
Sales/Maturities of investments,-,-,-,-44.73,-100.739
Other investing activites,496,496,-4416,-44.73,-
Net cash used for investing activites,-194.496,-194.496,-12754,-1623,-1021
Debt repayment,-237.067,-237.067,-,-,-
Common stock issued,2227,2227,7021,1155,-
Net cash used privided by (used for) financing activities,6573,6573,12746,4180,-
Net change in cash,-1169,-1169,-1410,884.095,-3093
Cash at beginning of period,1251,1251,2661,1777,4869
Cash at end of period,81.402,81.402,1251,2661,1777
Capital Expenditure,-1200,-1200,-8458,-1578,-920.154
Free Cash Flow,-8748,-8748,-9861,-3251,-2992
