Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,914621,874282,719243,551571
Depreciation & amortization,-,143574,136684,131721
Change in working capital,-,230069,-302689,109452
Inventory,-,-11097,-19681,-30356
Other working capital,-,1202046,549301,368482
Other non-cash items,-,11429,96670,3804
Net cash provided by operating activites,-,1322763,641461,490169
Investments in property plant and equipment,-,-120717,-92160,-121687
Acquisitions net,-,-2000,-,-
Purchases of investments,-,-198224,-54234,-50156
Sales/Maturities of investments,-,-,203933,58713
Other investing activites,-,-50240,-13782,40784
Net cash used for investing activites,-,-395181,49757,-62346
Net change in cash,-,94937,1236052,516575
Cash at beginning of period,-,4683200,3447147,2930572
Cash at end of period,-,4778137,4683200,3447147
Operating Cash Flow,-,1322763,641461,490169
Capital Expenditure,-,-120717,-92160,-121687
Free Cash Flow,-,1202046,549301,368482
