Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-528.909,-528.909,-2097,-136.034,-60.985
Purchases of investments,-,-,-,-,-1250
Sales/Maturities of investments,-,-,1004,2747,133.333
Other investing activites,-95.97,-95.97,-105.037,-,-
Net cash used for investing activites,-624.879,-624.879,-1198,2611,-1178
Common stock issued,450,450,-,295.321,3303
Common stock repurchased,-41.495,-41.495,-,-,-
Net cash used privided by (used for) financing activities,408.505,408.505,-,295.321,3303
Net change in cash,-1422,-1422,-2518,1793,1231
Cash at beginning of period,1820,1820,4203,2495,1291
Cash at end of period,407.441,407.441,1820,4203,2495
Capital Expenditure,-528.909,-528.909,-2097,-136.034,-60.985
Free Cash Flow,-1735,-1735,-3417,-1250,-955.592
