Breakdown,ttm,12/31/2019
Total Revenue,0,0
Total Operating Expenses,932.834,932.834
Operating Income or Loss,-932.834,-932.834
Income Before Tax,4599,4599
Income Tax Expense,1121,1121
Income from Continuing Operations,3478,3478
Net Income,3478,3478
Net Income available to common shareholders,3478,3478
