Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-180.921,-184.4
Other investing activites,-78.06,-11.989
Net cash used for investing activites,-1105,-42.776
Common stock repurchased,-420.926,-959.8
Net cash used privided by (used for) financing activities,9436,-959.8
Net change in cash,-648.863,-7686
Cash at beginning of period,7487,11380
Cash at end of period,6838,3694
Capital Expenditure,-180.921,-184.4
Free Cash Flow,-9160,-6868
