Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,1289434,1081170,899540,559480
Liabilities,,,,
Total Liabilities,1149823,952761,763361,445478
Stockholders' Equity,,,,
Common Stock,108,108,108,95
Retained Earnings,49625,45854,44787,43044
Accumulated other comprehensive income,1192,-8154,-760,798
Total stockholders' equity,139611,128409,136179,114002
Total liabilities and stockholders' equity,1289434,1081170,899540,559480
